game_date,game_year,player_name,batter,pitcher,events,description,bb_type,launch_speed,launch_angle,hc_x,hc_y,hit_distance_sc,spray_angle,release_spin_rate,spin_rate_deprecated,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,home_team,away_team,inning,outs_when_up,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z
2023-04-26,2023,"Ohtani, Shohei",660271,665622,field_out,hit_into_play,ground_ball,96.2,-4.0,106.02,155.36,16.0,122.01216818993502,2375.0,,0.269,0.259,0.0,0.0,0.0,LAA,ATH,1,2,L,R,3,2,-0.9,1.37,-0.89,1.66
2023-04-27,2023,"Ohtani, Shohei",660271,663992,field_out,hit_into_play,fly_ball,96.1,31.0,144.95,43.04,388.0,-76.31959566652708,2296.0,,0.237,0.414,0.0,0.0,0.0,LAA,ATH,8,1,L,L,0,0,-0.11,0.52,0.57,2.49
2023-04-27,2023,"Ohtani, Shohei",660271,642758,triple,hit_into_play,fly_ball,106.9,40.0,174.47,55.01,371.0,-54.74674716253687,1809.0,,0.531,1.102,1.6,1.0,2.0,LAA,ATH,6,2,L,R,0,0,-1.46,0.52,-0.34,3.15
2023-04-27,2023,"Ohtani, Shohei",660271,676664,single,hit_into_play,ground_ball,57.6,-28.0,132.88,161.72,4.0,77.88819441363073,2553.0,,0.054,0.056,0.9,1.0,0.0,LAA,ATH,1,2,L,L,2,2,-1.25,0.18,-1.45,2.28
2023-04-27,2023,"Ohtani, Shohei",660271,676664,double,hit_into_play,line_drive,102.9,7.0,96.01,82.74,171.0,-124.4497905876547,2051.0,,0.689,0.648,1.25,1.0,1.0,LAA,ATH,3,1,L,L,1,2,0.8,1.23,-0.76,3.59
2023-04-27,2023,"Ohtani, Shohei",660271,676664,field_out,hit_into_play,ground_ball,104.4,-1.0,116.6,147.55,51.0,110.43064123315408,2144.0,,0.44,0.396,0.0,0.0,0.0,LAA,ATH,5,0,L,L,1,2,0.89,1.1,-0.6,3.4
2023-04-28,2023,"Ohtani, Shohei",660271,489119,field_out,hit_into_play,ground_ball,82.8,1.0,161.42,150.9,41.0,35.41844837399555,2430.0,,0.246,0.236,0.0,0.0,0.0,MIL,LAA,4,0,L,L,1,2,-1.03,0.09,-1.19,1.91
2023-04-28,2023,"Ohtani, Shohei",660271,489119,field_out,hit_into_play,fly_ball,89.4,52.0,60.9,129.6,237.0,175.89532697477,2371.0,,0.009,0.009,0.0,0.0,0.0,MIL,LAA,5,2,L,L,0,0,-1.1,0.35,-0.67,2.66
2023-04-28,2023,"Ohtani, Shohei",660271,657265,single,hit_into_play,ground_ball,111.8,-2.0,138.57,115.29,30.0,-35.58557727601927,2417.0,,0.523,0.503,0.9,1.0,0.0,MIL,LAA,8,1,L,R,2,0,-0.78,0.96,-0.36,2.05
2023-04-28,2023,"Ohtani, Shohei",660271,489119,force_out,hit_into_play,ground_ball,91.8,-4.0,152.48,167.35,22.0,57.0213318888706,2237.0,,0.186,0.18,0.0,0.0,0.0,MIL,LAA,1,1,L,L,1,0,-0.27,0.55,-0.22,2.08
2023-04-29,2023,"Ohtani, Shohei",660271,642207,single,hit_into_play,line_drive,97.4,9.0,143.8,96.76,156.0,-56.3474051825511,2304.0,,0.649,0.584,0.9,1.0,0.0,MIL,LAA,9,2,L,R,0,0,-0.4,1.51,0.31,2.93
2023-04-29,2023,"Ohtani, Shohei",660271,669203,grounded_into_double_play,hit_into_play,ground_ball,96.2,-6.0,156.34,168.7,22.0,54.35332907107618,2557.0,,0.251,0.243,0.0,0.0,0.0,MIL,LAA,1,0,L,R,1,2,0.4,0.61,0.89,2.64
2023-04-29,2023,"Ohtani, Shohei",660271,665625,single,hit_into_play,ground_ball,103.4,-5.0,149.87,166.0,18.0,58.759612799068066,2423.0,,0.38,0.359,0.9,1.0,0.0,MIL,LAA,8,0,L,R,0,0,-0.11,0.49,0.21,1.89
2023-04-29,2023,"Ohtani, Shohei",660271,669203,single,hit_into_play,ground_ball,87.0,-6.0,182.74,118.34,14.0,-6.579684793508425,2579.0,,0.194,0.188,0.9,1.0,0.0,MIL,LAA,3,2,L,R,1,0,0.15,1.33,0.63,1.88
2023-04-29,2023,"Ohtani, Shohei",660271,669203,field_out,hit_into_play,ground_ball,104.2,-3.0,148.73,152.42,29.0,49.1262131242722,2530.0,,0.466,0.434,0.0,0.0,0.0,MIL,LAA,5,2,L,R,2,1,0.42,0.71,-0.22,2.2
